,State_code,City,Startup_name,Status,Age_first_funding_year,Age_last_funding_year,Funding_rounds,Funding_total_usd,Category,Has_VC,Has_angel,Has_roundA,Has_roundB,Has_roundC,Has_roundD,Founded_month,Founded_quarter,Founded_at
26,CA,San Mateo,Fortify Software,1,3.0,3.0,1,10000000,hardware&software,0,0,0,0,0,1,10,2002-Q4,2002/10/01
27,TX,Austin,Indeed,1,0.0,0.0,1,5000000,web,0,0,1,0,0,0,11,2004-Q4,2004/11/01
28,CA,Palo Alto,Transparency Software,0,1.0,3.0,2,12050000,hardware&software,1,0,1,0,0,0,1,2004-Q1,2004/01/01
29,CA,Palo Alto,Viewdle,1,2.0,4.0,3,12000000,analytics,1,0,1,1,0,0,1,2006-Q1,2006/01/01
30,CA,Sunnyvale,Virsto Software,1,1.0,4.0,3,24000000,hardware&software,0,0,1,1,0,0,7,2007-Q3,2007/07/01
31,CA,San Francisco,Carbonetworks,0,3.0,3.0,1,5000000,clean_technology,0,0,1,0,0,0,1,2005-Q1,2005/01/01
32,CA,San Mateo,Sana Security,1,7.0,7.0,1,12000000,security,0,0,0,0,0,0,1,2000-Q1,2000/01/01
33,CA,San Francisco,Sportgenic,1,1.0,3.0,3,11489687,advertising,0,1,1,1,0,0,9,2005-Q3,2005/09/01
34,CA,San Francisco,Lolapps,1,0.0,0.0,1,4000000,web,0,0,1,0,0,0,1,2008-Q1,2008/01/01
35,CA,Sunnyvale,Behavio,1,0.0,0.0,1,355000,hardware&software,0,1,0,0,0,0,6,2012-Q2,2012/06/12
36,CA,San Francisco,adBrite,1,1.0,9.0,4,40400000,advertising,0,0,1,1,1,1,1,2003-Q1,2003/01/01
37,CA,Santa Clara,QuikCycle,0,9.0,9.0,2,17800000,hardware&software,1,0,0,0,0,0,1,1998-Q1,1998/01/01
38,CA,San Francisco,Instagram,1,0.0,2.0,3,57500000,social_media,0,1,1,1,0,0,3,2010-Q1,2010/03/01
39,NY,New York,Motionbox,1,0.0,3.0,3,17200000,games,0,0,1,1,1,0,1,2006-Q1,2006/01/01
40,MA,Cambridge,AccelGolf,0,0.0,1.0,7,457282,mobile,1,1,0,0,0,0,8,2008-Q3,2008/08/01
41,CA,San Francisco,MoPub,1,0.0,2.0,4,18500000,mobile,0,1,1,1,0,0,9,2010-Q3,2010/09/09
42,NY,New York,Thumbplay,1,2.0,5.0,4,41500019,art&music,0,0,0,0,1,0,9,2004-Q3,2004/09/01
43,CA,Los Angeles,DailyStrength,1,1.0,1.0,1,5000000,web,0,0,1,0,0,0,4,2006-Q2,2006/04/01
44,CA,Mountain View,Yub,0,0.0,0.0,1,12000000,e-commerce,1,0,0,0,0,0,1,2013-Q1,2013/01/01
45,CA,Santa Clara,Azuro,1,4.0,7.0,2,10000000,semiconductors,1,0,0,1,0,0,1,2002-Q1,2002/01/01
46,CA,San Francisco,BookFresh,1,2.0,2.0,1,500000,web,0,1,0,0,0,0,1,2007-Q1,2007/01/01
47,CA,San Francisco,Singly,1,0.0,1.0,2,8950000,analytics,0,0,1,0,0,0,12,2010-Q4,2010/12/21
48,NY,New York,TxVia,1,1.0,4.0,4,55350000,finance,0,0,1,1,1,1,1,2006-Q1,2006/01/01
49,CA,Mountain View,Blue Vector Systems,0,3.0,3.0,1,4000000,public_relations,0,0,0,1,0,0,1,2002-Q1,2002/01/01
50,CA,San Francisco,Astrid,1,4.0,4.0,1,400000,social_media,0,1,0,0,0,0,1,2008-Q1,2008/01/01
51,WA,Seattle,Hubspan,1,5.0,5.0,1,13000000,hardware&software,0,0,0,0,0,1,1,2000-Q1,2000/01/01
52,CA,San Jose,41st Parameter,1,2.0,8.0,4,38064570,security,1,0,0,1,1,1,1,2004-Q1,2004/01/01
53,CA,San Francisco,Aardvark,1,0.0,1.0,2,6000000,web,0,1,1,0,0,0,7,2007-Q3,2007/07/01
54,CA,San Francisco,Fluther,1,2.0,2.0,1,600000,web,0,1,0,0,0,0,1,2007-Q1,2007/01/01
55,CA,Santa Clara,Woven Systems,1,2.0,4.0,2,30000000,web,0,0,1,1,0,0,1,2003-Q1,2003/01/01
56,CA,San Francisco,Chomp,1,0.0,0.0,2,2565000,mobile,0,1,1,0,0,0,9,2009-Q3,2009/09/09
57,NY,New York,ShopWiki,1,1.0,1.0,1,6250000,e-commerce,0,0,1,0,0,0,6,2005-Q2,2005/06/01
58,NY,New York,Fondu,1,1.0,1.0,1,575000,web,0,1,0,0,0,0,2,2010-Q1,2010/02/01
59,NY,New York,Qwiki,1,0.0,1.0,3,10500000,social_media,1,0,1,0,0,0,10,2009-Q4,2009/10/01
60,NY,New York,TheMarkets,1,7.0,7.0,1,30000000,web,1,0,0,0,0,0,1,2000-Q1,2000/01/01
61,CA,Santa Clara,Sentrigo,1,0.0,4.0,3,9500000,hardware&software,0,0,1,1,1,0,10,2006-Q4,2006/10/01
62,CA,Palo Alto,Netli,1,6.0,6.0,1,18000000,web,1,0,0,0,0,0,1,2000-Q1,2000/01/01
63,CA,San Jose,Wellcore,0,3.0,3.0,1,2000000,hardware&software,0,0,0,0,0,0,1,2007-Q1,2007/01/01
64,MA,Cambridge,Taligen Therapeutics,1,1.0,6.0,3,78750000,biotechnology,0,0,1,1,0,0,1,2004-Q1,2004/01/01
65,CA,San Mateo,Adap.tv,1,0.0,4.0,5,48500000,advertising,1,1,1,1,1,0,11,2006-Q4,2006/11/01
66,CA,San Francisco,Current Media,0,0.0,0.0,1,15000000,web,0,0,1,0,0,0,1,2005-Q1,2005/01/01
67,CA,San Francisco,Arch Rock Corporation,1,0.0,2.0,2,15000000,hardware&software,0,0,1,1,0,0,1,2005-Q1,2005/01/01
68,NY,New York,SpiralFrog,0,2.0,3.0,3,45000000,games,0,0,1,0,0,0,1,2004-Q1,2004/01/01
69,CA,Santa Clara,Plusmo,1,1.0,1.0,1,4410000,mobile,0,0,1,0,0,0,6,2006-Q2,2006/06/01
70,CA,San Francisco,Involver,1,1.0,3.0,3,11040000,hardware&software,0,0,1,1,1,0,1,2007-Q1,2007/01/01
71,CA,San Francisco,Lionside,1,1.0,1.0,1,1600000,games,0,0,1,0,0,0,1,2009-Q1,2009/01/01
72,NY,New York,Game Trust,1,3.0,3.0,2,9000000,hardware&software,1,0,0,1,0,0,1,2002-Q1,2002/01/01
73,CA,San Mateo,Nearbuy Systems,1,1.0,2.0,3,3282327,analytics,1,0,0,0,0,0,4,2010-Q2,2010/04/01
74,CA,Los Angeles,GetBack,0,1.0,1.0,1,1700000,web,0,0,1,0,0,0,9,2007-Q3,2007/09/01
75,CA,San Francisco,Yobongo,1,1.0,1.0,1,1350000,web,0,1,0,0,0,0,1,2010-Q1,2010/01/01
76,CA,Sunnyvale,LikeList,0,1.0,1.0,1,5000000,web,0,0,1,0,0,0,1,2008-Q1,2008/01/01
77,WA,Seattle,Pure Networks,1,4.0,4.0,1,12500000,web,0,0,0,1,0,0,1,2002-Q1,2002/01/01
78,CA,San Jose,Infineta Systems,0,2.0,3.0,2,30000000,hardware&software,0,0,1,1,0,0,1,2008-Q1,2008/01/01
79,TX,Austin,Challenge Games,1,2.0,2.0,2,14500000,web,0,0,1,1,0,0,1,2006-Q1,2006/01/01
80,CA,San Francisco,Crowd Factory,1,2.0,2.0,1,6500000,advertising,1,0,0,0,0,0,1,2009-Q1,2009/01/01
81,NY,New York,Vizibility,1,0.0,3.0,5,4705910,mobile,1,1,0,0,0,0,7,2009-Q3,2009/07/01
82,NY,New York,Tumblr,1,0.0,4.0,6,125250000,web,1,0,1,1,1,1,2,2007-Q1,2007/02/01
83,NY,New York,Hotlist,0,0.0,4.0,4,1449998,social_media,1,1,0,0,0,0,1,2008-Q1,2008/01/01
84,MA,Cambridge,Crashlytics,1,0.0,1.0,2,6000000,mobile,0,1,1,0,0,0,2,2011-Q1,2011/02/01
85,CA,San Francisco,Recurve,1,3.0,4.0,2,14000000,hardware&software,1,0,1,0,0,0,8,2005-Q3,2005/08/01
86,CA,San Francisco,Plizy,0,0.0,2.0,2,5200000,social_media,1,0,1,0,0,0,9,2010-Q3,2010/09/01
87,TX,Austin,Gowalla,1,0.0,2.0,3,10400001,web,0,0,1,1,0,0,8,2007-Q3,2007/08/28
88,NY,New York,Turf Geography Club,0,0.0,1.0,2,890000,mobile,0,1,0,0,0,0,1,2011-Q1,2011/01/01
89,CA,San Francisco,skyrockit,0,10.0,10.0,1,2600000,mobile,1,0,0,0,0,0,1,2001-Q1,2001/01/01
90,CA,San Francisco,VoxPop Network Corporation,1,0.0,2.0,2,3500000,games,0,0,1,1,0,0,8,2006-Q3,2006/08/01
91,CA,San Francisco,Metaweb Technologies,1,1.0,3.0,2,57000000,web,0,0,1,1,0,0,1,2005-Q1,2005/01/01
92,CA,San Francisco,DocVerse,1,0.0,0.0,1,1300000,web,0,1,0,0,0,0,9,2007-Q3,2007/09/01
93,CA,San Diego,Veoh,1,1.0,4.0,4,69750000,games,0,0,1,1,1,1,1,2004-Q1,2004/01/01
94,CA,Mountain View,Hammerhead Systems,0,4.0,5.0,2,48000000,hardware&software,0,0,0,0,1,1,1,2002-Q1,2002/01/01
95,CA,San Mateo,GuardianEdge Technologies,1,3.0,5.0,3,19500000,hardware&software,0,0,1,1,0,0,1,2002-Q1,2002/01/01
96,CA,Sunnyvale,VoloMedia,0,2.0,3.0,2,12000000,advertising,0,0,0,1,1,0,1,2005-Q1,2005/01/01
97,CA,San Francisco,Flixster,1,0.0,2.0,3,7175000,web,0,1,1,1,0,0,1,2006-Q1,2006/01/20
98,CA,San Francisco,Wesabe,0,1.0,1.0,2,4700000,web,0,1,1,0,0,0,12,2005-Q4,2005/12/01
99,CA,Mountain View,NeoEdge Networks,1,5.0,8.0,3,10000000,advertising,1,0,0,1,0,0,5,2002-Q2,2002/05/02
100,TX,Austin,SemiSouth Laboratories,0,4.0,10.0,4,39000000,semiconductors,1,0,1,0,0,0,7,2000-Q3,2000/07/01
101,CA,San Francisco,NuConomy,1,1.0,2.0,2,3300000,advertising,0,1,1,0,0,0,1,2006-Q1,2006/01/01
102,CA,San Francisco,Flowtown,1,1.0,1.0,1,750000,analytics,0,1,0,0,0,0,2,2009-Q1,2009/02/01
103,NY,New York,Bioenvision,0,11.0,11.0,1,7410000,biotechnology,1,0,0,0,0,0,1,1996-Q1,1996/01/01
104,CA,San Jose,Teranetics,1,6.0,10.0,3,52800000,semiconductors,1,0,0,0,1,0,1,2000-Q1,2000/01/01
105,CA,San Francisco,GoodGuide,1,1.0,3.0,3,14229998,web,0,0,1,1,0,0,12,2007-Q4,2007/12/01
106,NY,New York,avVenta,1,4.0,4.0,1,20000000,advertising,0,0,1,0,0,0,1,2005-Q1,2005/01/01
107,CA,San Francisco,DeliveryEdge,0,1.0,1.0,1,1500000,e-commerce,0,0,0,0,0,0,9,2006-Q3,2006/09/01
108,CA,San Francisco,Solmentum,0,0.0,0.0,1,325000,clean_technology,0,1,0,0,0,0,7,2009-Q3,2009/07/01
109,WA,Seattle,GridNetworks,0,2.0,4.0,4,30000000,web,0,1,1,1,0,0,1,2004-Q1,2004/01/01
110,CA,Mountain View,MAP Pharmaceuticals,1,4.0,4.0,1,50000000,biotechnology,0,0,0,0,0,1,1,2003-Q1,2003/01/01
111,NY,New York,"ORCA, Inc.",1,1.0,1.0,1,2000000,e-commerce,0,0,1,0,0,0,1,2008-Q1,2008/01/01
112,TX,Austin,Phurnace Software,1,0.0,1.0,2,10000000,hardware&software,0,0,1,0,0,0,1,2007-Q1,2007/01/01
113,CA,San Jose,BlueLithium,1,1.0,1.0,1,11500000,advertising,0,0,1,0,0,0,1,2004-Q1,2004/01/01
114,NY,New York,Giant Realm,1,1.0,1.0,2,5500000,web,0,0,1,0,0,0,1,2007-Q1,2007/01/01
115,MA,Cambridge,LocaModa,1,0.0,4.0,3,7900000,advertising,0,0,1,0,0,0,1,2007-Q1,2007/01/01
116,CA,San Francisco,Meraki,1,0.0,6.0,5,80000000,web,0,1,1,1,1,1,4,2006-Q2,2006/04/01
117,TX,Austin,MPOWER Mobile,0,4.0,4.0,1,5000000,mobile,1,0,0,0,0,0,1,2005-Q1,2005/01/01
118,WA,Seattle,Haute Secure,1,1.0,3.0,2,2100000,security,0,1,1,0,0,0,1,2006-Q1,2006/01/01
119,NY,New York,Kluster,1,0.0,0.0,1,1000000,web,0,1,0,0,0,0,1,2008-Q1,2008/01/01
120,NY,New York,Jingle Networks,1,0.0,4.0,7,88651133,mobile,1,1,1,1,1,1,9,2005-Q3,2005/09/01
121,CA,Los Angeles,ItsGoinOn,0,0.0,0.0,1,100000,games,0,1,0,0,0,0,5,2010-Q2,2010/05/01
122,CA,Mountain View,Ardian,1,2.0,6.0,3,64080000,biotechnology,0,0,1,1,1,0,1,2003-Q1,2003/01/01
123,CA,San Francisco,Canopy Financial,0,4.0,5.0,4,89500000,finance,0,0,0,1,1,0,1,2004-Q1,2004/01/01
124,CA,San Francisco,Kyte,1,0.0,5.0,4,23350000,games,0,1,1,1,0,0,12,2006-Q4,2006/12/01
125,CA,Palo Alto,Immunet Corporation,1,1.0,1.0,1,2000000,hardware&software,0,0,1,0,0,0,7,2008-Q3,2008/07/01
126,CA,San Francisco,PopularMedia,1,4.0,5.0,2,12250000,advertising,0,0,0,1,1,0,1,2003-Q1,2003/01/01
127,CA,San Francisco,Miyowa,1,3.0,5.0,2,11725600,mobile,0,0,1,1,0,0,4,2003-Q2,2003/04/14
128,WA,Seattle,Dashwire,1,2.0,4.0,3,5056559,mobile,1,0,1,0,0,0,8,2006-Q3,2006/08/11
129,CA,San Francisco,Reddit,1,0.0,0.0,1,100000,web,0,1,0,0,0,0,1,2005-Q1,2005/01/01
130,CA,San Francisco,Pure Digital Technologies,1,2.0,6.0,3,68200000,hardware&software,1,1,0,0,0,0,9,2001-Q3,2001/09/01
131,NY,New York,Visual Revenue,1,1.0,1.0,2,2212000,analytics,0,1,1,0,0,0,3,2010-Q1,2010/03/01
132,CA,San Mateo,Offermatic,0,0.0,1.0,2,4500000,web,0,1,1,0,0,0,2,2010-Q1,2010/02/01
133,CA,Palo Alto,Hyperic,1,2.0,3.0,2,9900000,hardware&software,0,0,1,1,0,0,1,2004-Q1,2004/01/01
134,CA,San Francisco,Optimal,1,0.0,5.0,3,7600000,advertising,0,0,1,1,0,0,1,2008-Q1,2008/01/01
135,CA,Palo Alto,Q-magic,0,0.0,0.0,1,650000,public_relations,0,1,0,0,0,0,2,2007-Q1,2007/02/01
136,CA,Los Angeles,Geodelic Systems,0,0.0,2.0,3,10500000,mobile,1,0,1,1,0,0,1,2008-Q1,2008/01/01
137,CA,Mountain View,PostPath,1,1.0,4.0,2,24300000,web,0,0,0,1,1,0,1,2003-Q1,2003/01/01
138,CA,Santa Clara,Attune Systems,0,7.0,7.0,2,18000000,hardware&software,1,0,0,1,0,0,1,1999-Q1,1999/01/01
139,CA,San Francisco,TokBox,1,0.0,3.0,3,26000000,hardware&software,0,0,1,1,1,0,5,2007-Q2,2007/05/01
140,CA,Mountain View,Avega Systems,0,2.0,5.0,2,9500000,hardware&software,1,0,0,1,0,0,1,2005-Q1,2005/01/01
141,CA,Mountain View,PeerMe,0,1.0,1.0,1,5000000,games,0,0,1,0,0,0,1,2004-Q1,2004/01/01
142,WA,Seattle,Kiha Software,0,2.0,2.0,1,20000000,hardware&software,0,0,1,0,0,0,1,2008-Q1,2008/01/01
143,MA,Cambridge,Vlingo,1,0.0,3.0,3,26500000,mobile,1,0,1,1,0,0,6,2006-Q2,2006/06/01
144,TX,Austin,Hurricane Party,0,0.0,0.0,1,20000,mobile,0,1,0,0,0,0,5,2010-Q2,2010/05/01
145,CA,Sunnyvale,Minekey,0,1.0,2.0,2,3600000,web,0,1,1,0,0,0,1,2005-Q1,2005/01/01
146,NY,New York,Blip,1,0.0,7.0,7,27300000,games,0,1,1,1,1,1,5,2005-Q2,2005/05/01
147,CA,San Francisco,Fabkids,1,0.0,0.0,1,2600000,e-commerce,0,0,1,0,0,0,1,2012-Q1,2012/01/01
148,CA,Palo Alto,CafeBots,0,0.0,0.0,1,5000000,web,0,0,1,0,0,0,1,2010-Q1,2010/01/01
149,CA,San Diego,Avaak,1,4.0,6.0,2,17000000,mobile,0,0,1,1,0,0,1,2004-Q1,2004/01/01
150,CA,San Francisco,Digg,1,0.0,6.0,4,45000000,social_media,0,0,1,1,1,1,10,2004-Q4,2004/10/11
151,CA,San Francisco,Kongregate,1,1.0,7.0,4,19000000,games,0,0,1,1,1,0,1,2006-Q1,2006/01/01
152,CA,San Francisco,Kiptronic,1,0.0,3.0,3,7300000,advertising,0,1,1,1,0,0,5,2005-Q2,2005/05/01
153,WA,Seattle,Cozi Group,0,0.0,7.0,7,26390819,web,1,0,1,1,0,0,3,2005-Q1,2005/03/03
154,CA,Menlo Park,Jaxtr,1,1.0,2.0,3,21500000,mobile,0,0,1,1,0,0,10,2005-Q4,2005/10/01
155,NY,New York,TravelMuse,1,0.0,2.0,3,5600000,web,0,0,1,1,0,0,4,2007-Q2,2007/04/16
156,CA,San Francisco,Jambool,1,2.0,3.0,2,6000000,finance,0,0,1,1,0,0,8,2006-Q3,2006/08/01
157,CA,San Francisco,Home-Account,1,0.0,0.0,2,1000000,finance,1,0,1,0,0,0,11,2008-Q4,2008/11/01
158,CA,San Francisco,kwiry,0,2.0,2.0,1,1000000,mobile,0,0,1,0,0,0,1,2006-Q1,2006/01/01
159,CA,San Francisco,imeem,1,0.0,5.0,5,24750000,art&music,1,1,1,1,0,0,11,2003-Q4,2003/11/01
160,CA,San Francisco,RentJuice,1,2.0,3.0,3,6693782,finance,1,0,0,0,0,0,1,2008-Q1,2008/01/01
161,CA,San Diego,Verari Systems,0,11.0,11.0,1,20000000,hardware&software,0,0,0,0,1,0,1,1996-Q1,1996/01/01
162,NY,New York,Outside.in,1,0.0,3.0,5,14400000,web,0,1,1,1,0,0,8,2006-Q3,2006/08/01
163,CA,San Francisco,Vizu Corporation,1,1.0,7.0,4,13075000,advertising,0,0,1,1,0,0,2,2005-Q1,2005/02/14
164,CA,Mountain View,Zing Systems,1,0.0,0.0,2,26000000,games,0,0,1,0,1,0,6,2007-Q2,2007/06/01
165,CA,San Diego,Elevation Pharmaceuticals,1,3.0,5.0,4,89400001,biotechnology,1,0,1,1,0,0,1,2007-Q1,2007/01/01
166,CA,Palo Alto,Punch Entertainment,0,0.0,0.0,1,1200000,hardware&software,0,0,1,0,0,0,5,2005-Q2,2005/05/10
167,NY,New York,Stickybits,0,1.0,1.0,2,1900000,web,0,1,1,0,0,0,1,2009-Q1,2009/01/01
168,CA,San Francisco,Ecast,0,9.0,12.0,3,30300000,games,1,0,0,0,0,1,1,1999-Q1,1999/01/01
169,NY,New York,lifeIO,0,2.0,2.0,1,500000,web,0,1,0,0,0,0,8,2006-Q3,2006/08/29
170,CA,Palo Alto,Buysight,1,0.0,4.0,3,24030000,advertising,0,0,1,1,0,0,1,2008-Q1,2008/01/01
171,CA,San Francisco,TripIt,1,0.0,3.0,3,13100000,travel,0,1,0,1,1,0,10,2006-Q4,2006/10/01
172,NY,New York,Pinch Media,1,0.0,1.0,3,560001,hardware&software,1,1,0,0,0,0,4,2008-Q2,2008/04/01
173,CA,San Jose,WiChorus,1,0.0,3.0,4,42500000,mobile,1,0,1,1,1,0,1,2005-Q1,2005/01/01
174,NY,New York,easy2comply (Dynasec),1,5.0,5.0,1,1000000,hardware&software,0,0,1,0,0,0,1,2002-Q1,2002/01/01
175,CA,San Francisco,Socialize,1,3.0,3.0,3,1820000,mobile,0,1,0,0,0,0,7,2008-Q3,2008/07/01
176,NY,New York,Exclusively.in,1,0.0,1.0,2,18800000,fashion,0,0,1,1,0,0,1,2010-Q1,2010/01/01
177,CA,Mountain View,Avidia,1,2.0,3.0,2,72300000,advertising,0,0,0,1,1,0,1,2003-Q1,2003/01/01
178,CA,Los Angeles,Bevvy,0,0.0,0.0,1,100000,e-commerce,0,1,0,0,0,0,1,2011-Q1,2011/01/08
179,CA,San Francisco,Crowdcast,1,3.0,3.0,1,6000000,hardware&software,0,0,1,0,0,0,1,2007-Q1,2007/01/01
180,NY,New York,Pictela,1,0.0,2.0,4,3499997,advertising,1,0,1,0,0,0,10,2008-Q4,2008/10/17
181,CA,San Francisco,Storify,1,0.0,1.0,3,2023000,web,0,1,1,0,0,0,12,2009-Q4,2009/12/11
182,NY,New York,LiftDNA,1,1.0,1.0,2,1000000,advertising,0,1,0,0,0,0,9,2009-Q3,2009/09/01
183,CA,Palo Alto,Onavo,1,1.0,2.0,2,13000000,mobile,0,0,1,1,0,0,1,2010-Q1,2010/01/01
184,CA,Santa Clara,Link_A_Media Devices,0,5.0,8.0,3,47218498,semiconductors,1,0,0,0,1,1,1,2004-Q1,2004/01/01
185,CA,San Jose,NeoGuide Systems,1,6.0,6.0,1,25000000,biotechnology,0,0,0,0,1,0,1,2000-Q1,2000/01/01
186,CA,Santa Clara,Accept Software,1,3.0,8.0,4,25305000,hardware&software,1,0,1,1,1,0,1,2002-Q1,2002/01/01
187,CA,Palo Alto,Milo,1,0.0,1.0,2,4950000,web,0,1,1,0,0,0,1,2008-Q1,2008/01/01
188,CA,Santa Clara,Mimosa Systems,1,2.0,6.0,6,53816776,hardware&software,1,0,0,1,1,1,8,2003-Q3,2003/08/29
189,NY,New York,Surphace,1,0.0,0.0,2,3500000,web,0,0,1,1,0,0,6,2005-Q2,2005/06/01
190,CA,Santa Clara,SkyPilot Networks,1,1.0,8.0,4,68400000,mobile,1,0,1,0,1,1,1,2000-Q1,2000/01/01
191,CA,San Francisco,Zencoder,1,3.0,4.0,2,2000000,hardware&software,0,1,1,0,0,0,1,2007-Q1,2007/01/01
192,NY,New York,The Huffington Post,1,0.0,5.0,5,37000000,social_media,1,0,1,1,1,0,5,2005-Q2,2005/05/09
193,CA,Mountain View,Exaprotect,1,2.0,2.0,1,7660000,security,0,0,1,0,0,0,1,2004-Q1,2004/01/01
194,CA,Los Angeles,Giiv,0,0.0,1.0,2,3350000,hardware&software,0,1,1,0,0,0,1,2009-Q1,2009/01/01
195,TX,Austin,BlackLocus,1,1.0,1.0,1,2500000,analytics,0,0,1,0,0,0,1,2010-Q1,2010/01/01
196,NY,New York,DailyBurn,1,0.0,1.0,2,540000,web,0,1,0,0,0,0,10,2007-Q4,2007/10/01
197,CA,San Francisco,CastTV,1,0.0,1.0,2,3100000,games,0,1,1,0,0,0,1,2006-Q1,2006/01/01
198,NY,New York,Venmo,1,1.0,2.0,2,1200000,mobile,0,1,1,0,0,0,4,2009-Q2,2009/04/04
199,NY,New York,WeShow,0,0.0,0.0,1,5000000,games,0,0,1,0,0,0,6,2007-Q2,2007/06/01
200,CA,San Francisco,SenSage,1,0.0,7.0,6,37079000,security,1,0,0,0,1,1,8,2004-Q3,2004/08/18
201,CA,San Diego,Tapioca Mobile,0,0.0,0.0,2,5000000,mobile,1,1,0,0,0,0,1,2008-Q1,2008/01/01
202,NY,New York,BestVendor,1,0.0,1.0,4,4200000,hardware&software,0,1,1,0,0,0,1,2011-Q1,2011/01/01
203,WA,Seattle,Local Marketers,0,3.0,3.0,1,4100000,web,1,0,0,0,0,0,1,2005-Q1,2005/01/01
204,CA,Mountain View,Wander (f. YongoPal),0,0.0,1.0,5,185000,mobile,1,1,0,0,0,0,1,2010-Q1,2010/01/01
205,NY,New York,Right Media,1,3.0,3.0,1,45000000,advertising,0,0,0,1,0,0,1,2003-Q1,2003/01/01
206,TX,Austin,FiveRuns,1,0.0,2.0,2,9200000,web,0,0,1,1,0,0,2,2005-Q1,2005/02/01
207,WA,Seattle,World Blender,0,0.0,0.0,1,12000,games,0,1,0,0,0,0,1,2010-Q1,2010/01/01
208,NY,New York,Dispatch,1,0.0,0.0,2,983000,hardware&software,0,1,0,0,0,0,5,2011-Q2,2011/05/01
209,CA,Los Angeles,HauteLook,1,1.0,2.0,2,41000000,fashion,0,0,0,1,1,0,12,2007-Q4,2007/12/01
210,CA,San Francisco,Sponge,1,0.0,0.0,1,400000,web,0,1,0,0,0,0,1,2010-Q1,2010/01/01
211,NY,New York,Genesis Networks,1,4.0,8.0,10,22165091,web,1,0,0,1,0,0,1,2002-Q1,2002/01/01
